EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
134,Michael,Rogers,MROGERS,650.127.1834,26-AUG-98,ST_CLERK,2900,122,50
135,Ki,Gee,KGEE,650.127.1734,12-DEC-99,ST_CLERK,2400,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,06-FEB-00,ST_CLERK,2200,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,14-JUL-95,ST_CLERK,3600,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,26-OCT-97,ST_CLERK,3200,123,50
139,John,Seo,JSEO,650.121.2019,12-FEB-98,ST_CLERK,2700,123,50
140,Joshua,Patel,JPATEL,650.121.1834,06-APR-98,ST_CLERK,2500,123,50
141,Trenna,Rajs,TRAJS,650.121.8009,17-OCT-95,ST_CLERK,3500,124,50
142,Curtis,Davies,CDAVIES,650.121.2994,29-JAN-97,ST_CLERK,3100,124,50
143,Randall,Matos,RMATOS,650.121.2874,15-MAR-98,ST_CLERK,2600,124,50
144,Peter,Vargas,PVARGAS,650.121.2004,09-JUL-98,ST_CLERK,2500,124,50
145,John,Russell,JRUSSEL,011.44.1344.429268,01-OCT-96,SA_MAN,14000,100,80
146,Karen,Partners,KPARTNER,011.44.1344.467268,05-JAN-97,SA_MAN,13500,100,80
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,10-MAR-97,SA_MAN,12000,100,80
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,15-OCT-99,SA_MAN,11000,100,80
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,29-JAN-00,SA_MAN,10500,100,80
150,Peter,Tucker,PTUCKER,011.44.1344.129268,30-JAN-97,SA_REP,10000,145,80
151,David,Bernstein,DBERNSTE,011.44.1344.345268,24-MAR-97,SA_REP,9500,145,80
152,Peter,Hall,PHALL,011.44.1344.478968,20-AUG-97,SA_REP,9000,145,80
153,Christopher,Olsen,COLSEN,011.44.1344.498718,30-MAR-98,SA_REP,8000,145,80
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,09-DEC-98,SA_REP,7500,145,80
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,23-NOV-99,SA_REP,7000,145,80
156,Janette,King,JKING,011.44.1345.429268,30-JAN-96,SA_REP,10000,146,80
157,Patrick,Sully,PSULLY,011.44.1345.929268,04-MAR-96,SA_REP,9500,146,80
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,01-AUG-96,SA_REP,9000,146,80
159,Lindsey,Smith,LSMITH,011.44.1345.729268,10-MAR-97,SA_REP,8000,146,80
160,Louise,Doran,LDORAN,011.44.1345.629268,15-DEC-97,SA_REP,7500,146,80
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,03-NOV-98,SA_REP,7000,146,80
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11-NOV-97,SA_REP,10500,147,80
163,Danielle,Greene,DGREENE,011.44.1346.229268,19-MAR-99,SA_REP,9500,147,80
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,24-JAN-00,SA_REP,7200,147,80
165,David,Lee,DLEE,011.44.1346.529268,23-FEB-00,SA_REP,6800,147,80
166,Sundar,Ande,SANDE,011.44.1346.629268,24-MAR-00,SA_REP,6400,147,80
167,Amit,Banda,ABANDA,011.44.1346.729268,21-APR-00,SA_REP,6200,147,80
168,Lisa,Ozer,LOZER,011.44.1343.929268,11-MAR-97,SA_REP,11500,148,80
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,23-MAR-98,SA_REP,10000,148,80
170,Tayler,Fox,TFOX,011.44.1343.729268,24-JAN-98,SA_REP,9600,148,80
171,William,Smith,WSMITH,011.44.1343.629268,23-FEB-99,SA_REP,7400,148,80
172,Elizabeth,Bates,EBATES,011.44.1343.529268,24-MAR-99,SA_REP,7300,148,80
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,21-APR-00,SA_REP,6100,148,80
174,Ellen,Abel,EABEL,011.44.1644.429267,11-MAY-96,SA_REP,11000,149,80
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,19-MAR-97,SA_REP,8800,149,80
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,24-MAR-98,SA_REP,8600,149,80
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,23-APR-98,SA_REP,8400,149,80
178,Kimberely,Grant,KGRANT,011.44.1644.429263,24-MAY-99,SA_REP,7000,149,
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,04-JAN-00,SA_REP,6200,149,80
180,Winston,Taylor,WTAYLOR,650.507.9876,24-JAN-98,SH_CLERK,3200,120,50
181,Jean,Fleaur,JFLEAUR,650.507.9877,23-FEB-98,SH_CLERK,3100,120,50
182,Martha,Sullivan,MSULLIVA,650.507.9878,21-JUN-99,SH_CLERK,2500,120,50
183,Girard,Geoni,GGEONI,650.507.9879,03-FEB-00,SH_CLERK,2800,120,50
184,Nandita,Sarchand,NSARCHAN,650.509.1876,27-JAN-96,SH_CLERK,4200,121,50
185,Alexis,Bull,ABULL,650.509.2876,20-FEB-97,SH_CLERK,4100,121,50
186,Julia,Dellinger,JDELLING,650.509.3876,24-JUN-98,SH_CLERK,3400,121,50
187,Anthony,Cabrio,ACABRIO,650.509.4876,07-FEB-99,SH_CLERK,3000,121,50
188,Kelly,Chung,KCHUNG,650.505.1876,14-JUN-97,SH_CLERK,3800,122,50
189,Jennifer,Dilly,JDILLY,650.505.2876,13-AUG-97,SH_CLERK,3600,122,50
190,Timothy,Gates,TGATES,650.505.3876,11-JUL-98,SH_CLERK,2900,122,50
191,Randall,Perkins,RPERKINS,650.505.4876,19-DEC-99,SH_CLERK,2500,122,50
192,Sarah,Bell,SBELL,650.501.1876,04-FEB-96,SH_CLERK,4000,123,50
193,Britney,Everett,BEVERETT,650.501.2876,03-MAR-97,SH_CLERK,3900,123,50
194,Samuel,McCain,SMCCAIN,650.501.3876,01-JUL-98,SH_CLERK,3200,123,50
195,Vance,Jones,VJONES,650.501.4876,17-MAR-99,SH_CLERK,2800,123,50
196,Alana,Walsh,AWALSH,650.507.9811,24-APR-98,SH_CLERK,3100,124,50
197,Kevin,Feeney,KFEENEY,650.507.9822,23-MAY-98,SH_CLERK,3000,124,50
198,Donald,OConnell,DOCONNEL,650.507.9833,21-JUN-99,SH_CLERK,2600,124,50
199,Douglas,Grant,DGRANT,650.507.9844,13-JAN-00,SH_CLERK,2600,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-SEP-87,AD_ASST,4400,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-FEB-96,MK_MAN,13000,100,20
202,Pat,Fay,PFAY,603.123.6666,17-AUG-97,MK_REP,6000,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,07-JUN-94,HR_REP,6500,101,40
204,Hermann,Baer,HBAER,515.123.8888,07-JUN-94,PR_REP,10000,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,07-JUN-94,AC_MGR,12000,101,110
206,William,Gietz,WGIETZ,515.123.8181,07-JUN-94,AC_ACCOUNT,8300,205,110
